architechure = vgg11, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1001
architechure = vgg11, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1202
architechure = vgg11, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1006
architechure = vgg11, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1144
architechure = vgg11, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1335
architechure = vgg11, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1309
architechure = vgg11, prune_ratio = 30, bit = 5, direction = tr, acc = 0.1572
architechure = vgg11, prune_ratio = 30, bit = 6, direction = tr, acc = 0.1611
architechure = vgg11, prune_ratio = 30, bit = 7, direction = tr, acc = 0.1636
architechure = vgg11, prune_ratio = 30, bit = 8, direction = tr, acc = 0.16
architechure = vgg11, prune_ratio = 40, bit = 4, direction = tr, acc = 0.5108
architechure = vgg11, prune_ratio = 40, bit = 5, direction = tr, acc = 0.6077
architechure = vgg11, prune_ratio = 40, bit = 6, direction = tr, acc = 0.5577
architechure = vgg11, prune_ratio = 40, bit = 7, direction = tr, acc = 0.6027
architechure = vgg11, prune_ratio = 40, bit = 8, direction = tr, acc = 0.6256
architechure = vgg11, prune_ratio = 50, bit = 4, direction = tr, acc = 0.8736
architechure = vgg11, prune_ratio = 50, bit = 5, direction = tr, acc = 0.881
architechure = vgg11, prune_ratio = 50, bit = 6, direction = tr, acc = 0.8758
architechure = vgg11, prune_ratio = 50, bit = 7, direction = tr, acc = 0.8812
architechure = vgg11, prune_ratio = 50, bit = 8, direction = tr, acc = 0.8822
architechure = alexnet, prune_ratio = 10, bit = 4, direction = bl, acc = 0.8166
architechure = alexnet, prune_ratio = 10, bit = 5, direction = bl, acc = 0.837
architechure = alexnet, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8349
architechure = alexnet, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8394
architechure = alexnet, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8404
architechure = alexnet, prune_ratio = 20, bit = 4, direction = bl, acc = 0.8133
architechure = alexnet, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8359
architechure = alexnet, prune_ratio = 20, bit = 6, direction = bl, acc = 0.8288
architechure = alexnet, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8334
architechure = alexnet, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8351
architechure = alexnet, prune_ratio = 30, bit = 4, direction = bl, acc = 0.8143
architechure = alexnet, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8338
architechure = alexnet, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8342
architechure = alexnet, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8354
architechure = alexnet, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8366
architechure = alexnet, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8173
architechure = alexnet, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8356
architechure = alexnet, prune_ratio = 40, bit = 6, direction = bl, acc = 0.8299
architechure = alexnet, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8349
architechure = alexnet, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8364
architechure = alexnet, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = bl, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8387
architechure = alexnet, prune_ratio = 10, bit = 4, direction = br, acc = 0.7375
architechure = alexnet, prune_ratio = 10, bit = 5, direction = br, acc = 0.7991
architechure = alexnet, prune_ratio = 10, bit = 6, direction = br, acc = 0.7866
architechure = alexnet, prune_ratio = 10, bit = 7, direction = br, acc = 0.7996
architechure = alexnet, prune_ratio = 10, bit = 8, direction = br, acc = 0.8056
architechure = alexnet, prune_ratio = 20, bit = 4, direction = br, acc = 0.7542
