architechure = vgg11, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1668
architechure = vgg11, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1785
architechure = vgg11, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1673
architechure = vgg11, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1808
architechure = vgg11, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1827
architechure = vgg11, prune_ratio = 30, bit = 4, direction = tr, acc = 0.2453
architechure = vgg11, prune_ratio = 30, bit = 5, direction = tr, acc = 0.292
architechure = vgg11, prune_ratio = 30, bit = 6, direction = tr, acc = 0.2437
architechure = vgg11, prune_ratio = 30, bit = 7, direction = tr, acc = 0.322
architechure = vgg11, prune_ratio = 30, bit = 8, direction = tr, acc = 0.3286
architechure = vgg11, prune_ratio = 40, bit = 4, direction = tr, acc = 0.7096
architechure = vgg11, prune_ratio = 40, bit = 5, direction = tr, acc = 0.761
architechure = vgg11, prune_ratio = 40, bit = 6, direction = tr, acc = 0.7093
architechure = vgg11, prune_ratio = 40, bit = 7, direction = tr, acc = 0.7413
architechure = vgg11, prune_ratio = 40, bit = 8, direction = tr, acc = 0.7694
architechure = vgg11, prune_ratio = 50, bit = 4, direction = tr, acc = 0.8736
architechure = vgg11, prune_ratio = 50, bit = 5, direction = tr, acc = 0.881
architechure = vgg11, prune_ratio = 50, bit = 6, direction = tr, acc = 0.8758
architechure = vgg11, prune_ratio = 50, bit = 7, direction = tr, acc = 0.8812
architechure = vgg11, prune_ratio = 50, bit = 8, direction = tr, acc = 0.8822
architechure = alexnet, prune_ratio = 10, bit = 4, direction = bl, acc = 0.7458
architechure = alexnet, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8012
architechure = alexnet, prune_ratio = 10, bit = 6, direction = bl, acc = 0.7943
architechure = alexnet, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8026
architechure = alexnet, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8076
architechure = alexnet, prune_ratio = 20, bit = 4, direction = bl, acc = 0.7597
architechure = alexnet, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8075
architechure = alexnet, prune_ratio = 20, bit = 6, direction = bl, acc = 0.7959
architechure = alexnet, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8065
architechure = alexnet, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8077
architechure = alexnet, prune_ratio = 30, bit = 4, direction = bl, acc = 0.7813
architechure = alexnet, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8136
architechure = alexnet, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8099
architechure = alexnet, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8163
architechure = alexnet, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8176
architechure = alexnet, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8006
architechure = alexnet, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8228
architechure = alexnet, prune_ratio = 40, bit = 6, direction = bl, acc = 0.8172
architechure = alexnet, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8239
architechure = alexnet, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8265
architechure = alexnet, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = bl, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8387
architechure = alexnet, prune_ratio = 10, bit = 4, direction = br, acc = 0.7431
architechure = alexnet, prune_ratio = 10, bit = 5, direction = br, acc = 0.7996
architechure = alexnet, prune_ratio = 10, bit = 6, direction = br, acc = 0.7902
architechure = alexnet, prune_ratio = 10, bit = 7, direction = br, acc = 0.8019
architechure = alexnet, prune_ratio = 10, bit = 8, direction = br, acc = 0.806
architechure = alexnet, prune_ratio = 20, bit = 4, direction = br, acc = 0.7567
architechure = alexnet, prune_ratio = 20, bit = 5, direction = br, acc = 0.8049
architechure = alexnet, prune_ratio = 20, bit = 6, direction = br, acc = 0.7936
architechure = alexnet, prune_ratio = 20, bit = 7, direction = br, acc = 0.8041
architechure = alexnet, prune_ratio = 20, bit = 8, direction = br, acc = 0.807
architechure = alexnet, prune_ratio = 30, bit = 4, direction = br, acc = 0.7804
architechure = alexnet, prune_ratio = 30, bit = 5, direction = br, acc = 0.8139
architechure = alexnet, prune_ratio = 30, bit = 6, direction = br, acc = 0.8095
architechure = alexnet, prune_ratio = 30, bit = 7, direction = br, acc = 0.8155
architechure = alexnet, prune_ratio = 30, bit = 8, direction = br, acc = 0.8161
architechure = alexnet, prune_ratio = 40, bit = 4, direction = br, acc = 0.7989
architechure = alexnet, prune_ratio = 40, bit = 5, direction = br, acc = 0.8224
architechure = alexnet, prune_ratio = 40, bit = 6, direction = br, acc = 0.8163
architechure = alexnet, prune_ratio = 40, bit = 7, direction = br, acc = 0.8234
architechure = alexnet, prune_ratio = 40, bit = 8, direction = br, acc = 0.8262
architechure = alexnet, prune_ratio = 50, bit = 4, direction = br, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = br, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = br, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = br, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = br, acc = 0.8387
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tl, acc = 0.5148
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tl, acc = 0.671
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tl, acc = 0.6464
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tl, acc = 0.6765
