architechure = vgg11, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1023
architechure = vgg11, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1001
architechure = vgg11, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1038
architechure = vgg11, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1083
architechure = vgg11, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1051
architechure = vgg11, prune_ratio = 30, bit = 5, direction = tr, acc = 0.1037
architechure = vgg11, prune_ratio = 30, bit = 6, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 30, bit = 7, direction = tr, acc = 0.1062
architechure = vgg11, prune_ratio = 30, bit = 8, direction = tr, acc = 0.1148
architechure = vgg11, prune_ratio = 40, bit = 4, direction = tr, acc = 0.12
architechure = vgg11, prune_ratio = 40, bit = 5, direction = tr, acc = 0.1035
architechure = vgg11, prune_ratio = 40, bit = 6, direction = tr, acc = 0.1089
architechure = vgg11, prune_ratio = 40, bit = 7, direction = tr, acc = 0.1106
architechure = vgg11, prune_ratio = 40, bit = 8, direction = tr, acc = 0.1169
architechure = vgg11, prune_ratio = 50, bit = 4, direction = tr, acc = 0.1017
architechure = vgg11, prune_ratio = 50, bit = 5, direction = tr, acc = 0.1119
architechure = vgg11, prune_ratio = 50, bit = 6, direction = tr, acc = 0.1101
architechure = vgg11, prune_ratio = 50, bit = 7, direction = tr, acc = 0.116
architechure = vgg11, prune_ratio = 50, bit = 8, direction = tr, acc = 0.1171
architechure = alexnet, prune_ratio = 10, bit = 4, direction = bl, acc = 0.5343
architechure = alexnet, prune_ratio = 10, bit = 5, direction = bl, acc = 0.6024
architechure = alexnet, prune_ratio = 10, bit = 6, direction = bl, acc = 0.5992
architechure = alexnet, prune_ratio = 10, bit = 7, direction = bl, acc = 0.6142
architechure = alexnet, prune_ratio = 10, bit = 8, direction = bl, acc = 0.6203
architechure = alexnet, prune_ratio = 20, bit = 4, direction = bl, acc = 0.5279
architechure = alexnet, prune_ratio = 20, bit = 5, direction = bl, acc = 0.6013
architechure = alexnet, prune_ratio = 20, bit = 6, direction = bl, acc = 0.602
architechure = alexnet, prune_ratio = 20, bit = 7, direction = bl, acc = 0.6168
architechure = alexnet, prune_ratio = 20, bit = 8, direction = bl, acc = 0.6208
architechure = alexnet, prune_ratio = 30, bit = 4, direction = bl, acc = 0.5267
architechure = alexnet, prune_ratio = 30, bit = 5, direction = bl, acc = 0.5944
architechure = alexnet, prune_ratio = 30, bit = 6, direction = bl, acc = 0.5896
architechure = alexnet, prune_ratio = 30, bit = 7, direction = bl, acc = 0.6093
architechure = alexnet, prune_ratio = 30, bit = 8, direction = bl, acc = 0.6118
architechure = alexnet, prune_ratio = 40, bit = 4, direction = bl, acc = 0.5283
architechure = alexnet, prune_ratio = 40, bit = 5, direction = bl, acc = 0.5836
architechure = alexnet, prune_ratio = 40, bit = 6, direction = bl, acc = 0.5867
architechure = alexnet, prune_ratio = 40, bit = 7, direction = bl, acc = 0.5974
architechure = alexnet, prune_ratio = 40, bit = 8, direction = bl, acc = 0.598
